region.id,casa.ant.med,poblacion,casas.num,ingreso.med,cuartos.prom,habitaciones.prom,ocupantes.prom,valor.med.log
1,41,322,126,8.3252,1.023809524,6.984126984,2.555555556,13.02276401
2,21,2401,1138,8.3014,0.971880492,6.238137083,2.109841828,12.78968394
3,52,496,177,7.2574,1.073446328,8.288135593,2.802259887,12.77167051
4,52,558,219,5.6431,1.073059361,5.817351598,2.547945205,12.74051713
5,52,565,259,3.8462,1.081081081,6.281853282,2.181467181,12.74315064
6,52,413,193,4.0368,1.103626943,4.761658031,2.139896373,12.50506551
7,52,1094,514,3.6591,0.951361868,4.931906615,2.128404669,12.60886753
8,52,1157,647,3.12,1.061823802,4.797527048,1.788253478,12.39421059
9,42,1206,595,2.0804,1.117647059,4.294117647,2.026890756,12.33138284
10,52,1551,714,3.6912,0.990196078,4.970588235,2.172268908,12.47265875
11,52,910,402,3.2031,1.07960199,5.47761194,2.263681592,12.54788773
12,52,1504,734,3.2705,1.024523161,4.772479564,2.049046322,12.39586622
13,52,1098,468,3.075,1.012820513,5.322649573,2.346153846,12.27139211
14,52,345,174,2.6736,1.097701149,4,1.982758621,12.16159816
15,52,1212,620,1.9167,1.009677419,4.262903226,1.95483871,11.97791655
16,50,697,264,2.125,1.071969697,4.242424242,2.640151515,11.8493977
17,52,793,331,2.775,1.048338369,5.939577039,2.395770393,11.93491988
18,52,648,303,2.1202,0.9669967,4.052805281,2.138613861,11.95440101
19,50,990,419,1.9911,1.085918854,5.343675418,2.362768496,11.97477091
20,52,690,275,2.6033,1.083636364,5.465454545,2.509090909,12.00089179
21,40,409,166,1.3578,1.108433735,4.524096386,2.463855422,11.90158345
22,42,929,366,1.7135,1.00273224,4.478142077,2.538251366,11.98167831
23,52,1015,478,1.725,1.131799163,5.09623431,2.123430962,11.64307615
24,52,853,325,2.1806,1.036923077,5.193846154,2.624615385,11.50992096
25,52,1006,422,2.6,1.035545024,5.27014218,2.383886256,11.79509236
26,41,317,119,2.4038,1.033613445,4.495798319,2.663865546,11.58524613
27,49,607,239,2.4597,1.020920502,4.728033473,2.539748954,11.44892013
28,52,1102,397,1.808,1.060453401,4.780856423,2.77581864,11.56646623
29,50,1131,473,1.6424,1.040169133,4.401691332,2.391120507,11.59818531
30,52,395,155,1.6875,1.032258065,4.703225806,2.548387097,11.7905572
31,49,863,378,1.9274,1.182539683,5.068783069,2.283068783,11.71423232
32,52,1168,441,1.9615,1.090702948,4.882086168,2.648526077,11.65442503
33,48,1026,335,1.7969,1.220895522,5.737313433,3.062686567,11.61186541
34,49,754,329,1.375,1.112462006,5.030395137,2.291793313,11.56076279
35,51,1258,536,2.7303,1.070895522,4.972014925,2.347014925,11.60550465
36,49,570,264,1.4861,1.068181818,4.602272727,2.159090909,11.48452599
37,48,987,374,1.0972,1.155080214,4.807486631,2.639037433,11.55694235
38,52,901,403,1.4103,0.967741935,3.749379653,2.23573201,11.55118418
39,52,689,309,3.48,1.067961165,4.757281553,2.229773463,12.16212076
40,52,1377,696,2.5898,1.027298851,3.494252874,1.978448276,12.07823927
41,52,946,395,2.0978,1.060759494,4.215189873,2.394936709,11.95375772
42,51,517,249,1.2852,1.248995984,3.759036145,2.076305221,11.91839057
43,49,462,189,1.025,1.068783069,3.772486772,2.444444444,11.68519669
44,52,467,198,3.9643,1.02020202,4.797979798,2.358585859,12.14844353
45,52,660,292,3.0125,1.065068493,4.941780822,2.260273973,12.12486259
46,52,718,382,2.6768,1.09947644,4.335078534,1.879581152,12.11340896
47,50,616,304,2.026,1.059210526,3.700657895,2.026315789,11.86709728
48,43,558,253,1.7348,1.233201581,3.980237154,2.205533597,11.8313792
49,40,423,160,0.9506,1.21875,3.9,2.64375,12.14153412
50,40,700,352,1.775,1.065340909,2.6875,1.988636364,11.6307085
51,21,735,438,0.9218,1.034246575,2.0456621,1.678082192,12.05466819
52,43,1061,407,1.5045,1.12039312,4.58968059,2.606879607,11.44892013
53,41,1959,720,1.1108,1.184722222,4.473611111,2.720833333,11.48760766
54,52,1162,400,1.2475,1.14,4.075,2.905,11.55406741
55,52,701,233,1.6098,1.008583691,5.021459227,3.008583691,11.37939407
56,52,576,220,1.4113,1.104545455,4.295454545,2.618181818,11.32779998
57,52,622,259,1.5057,1.111969112,4.77992278,2.401544402,11.37939407
58,52,728,244,0.8172,1.37295082,6.102459016,2.983606557,11.35392973
59,52,1074,304,1.2171,1.121710526,4.5625,3.532894737,11.2935249
60,2,94,57,2.5625,0.754385965,2.771929825,1.649122807,11.00209984
61,52,554,187,3.3929,1.128342246,5.994652406,2.962566845,11.23453344
62,49,86,23,6.1183,1.260869565,5.869565217,3.739130435,11.22524339
63,50,377,122,0.9011,1.557377049,6.229508197,3.090163934,11.36326469
64,52,521,159,1.191,1.490566038,7.698113208,3.27672956,11.23980354
65,48,392,133,2.5938,1.368421053,6.22556391,2.947368421,11.20504069
66,52,604,187,1.1667,1.117647059,5.401069519,3.229946524,11.26957921
67,48,788,332,0.8056,1.06626506,4.38253012,2.373493976,11.34332268
68,52,492,147,2.6094,1.659863946,6.986394558,3.346938776,11.3059013
69,52,274,82,1.8516,1.329268293,6.975609756,3.341463415,11.35040654
70,46,1823,611,0.9802,1.05400982,4.584288052,2.983633388,11.76911687
71,26,392,127,1.7719,1.196850394,6.047244094,3.086614173,11.32055357
